"grade_id","student_id","subject_id","grade","date_received"
1,1,1,3.5,2022-09-27
2,1,2,4.0,2022-12-24
3,1,3,2.8,2023-08-21
4,1,4,4.6,2022-04-11
5,1,5,2.7,2022-09-11
6,1,6,2.1,2021-03-28
7,1,7,2.2,2023-03-17
8,2,1,2.9,2022-03-03
9,2,2,4.6,2022-08-18
10,2,3,2.1,2024-01-25
11,2,4,2.3,2021-05-26
12,2,5,2.9,2023-03-31
13,2,6,4.0,2021-07-23
14,2,7,2.3,2021-07-12
15,3,1,3.8,2021-11-30
16,3,2,4.4,2023-11-25
17,3,3,4.0,2024-01-25
18,3,4,3.9,2021-02-11
19,3,5,3.5,2023-04-06
20,3,6,4.9,2023-01-03
21,3,7,4.5,2022-01-03
22,4,1,3.8,2022-08-12
23,4,2,2.3,2021-11-19
24,4,3,4.4,2022-01-28
25,4,4,4.6,2021-03-12
26,4,5,2.8,2022-05-30
27,4,6,3.2,2022-08-04
28,4,7,4.9,2021-12-27
29,5,1,3.7,2022-04-07
30,5,2,4.1,2021-04-28
31,5,3,4.1,2022-05-07
32,5,4,3.8,2022-02-15
33,5,5,2.3,2021-02-12
34,5,6,4.7,2023-06-01
35,5,7,2.6,2022-02-16
36,6,1,3.8,2024-01-27
37,6,2,2.9,2022-10-22
38,6,3,3.3,2022-05-14
39,6,4,4.3,2022-02-01
40,6,5,2.7,2023-06-25
41,6,6,3.0,2022-05-05
42,6,7,3.8,2021-10-06
43,7,1,3.2,2023-09-16
44,7,2,3.9,2023-12-13
45,7,3,2.2,2023-09-11
46,7,4,3.8,2021-08-09
47,7,5,4.7,2021-11-08
48,7,6,4.7,2021-03-24
49,7,7,2.3,2021-12-05
50,8,1,2.9,2021-03-10
51,8,2,4.4,2022-11-30
52,8,3,3.9,2022-01-13
53,8,4,5.0,2023-07-17
54,8,5,4.2,2022-07-18
55,8,6,2.6,2022-11-03
56,8,7,4.3,2022-07-10
57,9,1,4.5,2022-11-05
58,9,2,3.5,2023-09-13
59,9,3,3.4,2021-07-06
60,9,4,4.5,2021-04-01
61,9,5,2.2,2021-06-18
62,9,6,2.2,2023-12-02
63,9,7,2.6,2022-05-20
